State,FIPS,DSCI,date
CA,06047,0,2005-09-06
CA,06047,0,2005-09-13
CA,06047,0,2005-09-20
CA,06047,0,2005-09-27
CA,06047,0,2005-10-04
CA,06047,0,2005-10-11
CA,06047,0,2005-10-18
CA,06047,0,2005-10-25
CA,06047,0,2005-11-01
CA,06047,0,2005-11-08
CA,06047,0,2005-11-15
CA,06047,0,2005-11-22
CA,06047,100,2005-11-29
CA,06047,100,2005-12-06
CA,06047,100,2005-12-13
CA,06047,76,2005-12-20
CA,06047,76,2005-12-27
CA,06047,0,2006-01-03
CA,06047,0,2006-01-10
CA,06047,0,2006-01-17
CA,06047,0,2006-01-24
CA,06047,0,2006-01-31
CA,06047,0,2006-02-07
CA,06047,0,2006-02-14
CA,06047,0,2006-02-21
CA,06047,93,2006-02-28
CA,06047,93,2006-03-07
CA,06047,91,2006-03-14
CA,06047,91,2006-03-21
CA,06047,0,2006-03-28
CA,06047,0,2006-04-04
CA,06047,0,2006-04-11
CA,06047,0,2006-04-18
CA,06047,0,2006-04-25
CA,06047,0,2006-05-02
CA,06047,0,2006-05-09
CA,06047,0,2006-05-16
CA,06047,0,2006-05-23
CA,06047,0,2006-05-30
CA,06047,0,2006-06-06
CA,06047,0,2006-06-13
CA,06047,0,2006-06-20
CA,06047,0,2006-06-27
CA,06047,0,2006-07-04
CA,06047,0,2006-07-11
CA,06047,0,2006-07-18
CA,06047,0,2006-07-25
CA,06047,0,2006-08-01
CA,06047,0,2006-08-08
CA,06047,0,2006-08-15
CA,06047,0,2006-08-22
CA,06047,0,2006-08-29
CA,06047,0,2006-09-05
CA,06047,0,2006-09-12
CA,06047,0,2006-09-19
CA,06047,0,2006-09-26
CA,06047,0,2006-10-03
CA,06047,0,2006-10-10
CA,06047,0,2006-10-17
CA,06047,0,2006-10-24
CA,06047,0,2006-10-31
CA,06047,0,2006-11-07
CA,06047,0,2006-11-14
CA,06047,1,2006-11-21
CA,06047,1,2006-11-28
CA,06047,36,2006-12-05
CA,06047,27,2006-12-12
CA,06047,30,2006-12-19
CA,06047,30,2006-12-26
CA,06047,26,2007-01-02
CA,06047,21,2007-01-09
CA,06047,21,2007-01-16
CA,06047,100,2007-01-23
CA,06047,200,2007-01-30
CA,06047,200,2007-02-06
CA,06047,154,2007-02-13
CA,06047,160,2007-02-20
CA,06047,164,2007-02-27
CA,06047,164,2007-03-06
CA,06047,164,2007-03-13
CA,06047,164,2007-03-20
CA,06047,164,2007-03-27
CA,06047,178,2007-04-03
CA,06047,200,2007-04-10
CA,06047,200,2007-04-17
CA,06047,200,2007-04-24
CA,06047,200,2007-05-01
CA,06047,200,2007-05-08
CA,06047,200,2007-05-15
CA,06047,209,2007-05-22
CA,06047,209,2007-05-29
CA,06047,209,2007-06-05
CA,06047,209,2007-06-12
CA,06047,209,2007-06-19
CA,06047,209,2007-06-26
CA,06047,209,2007-07-03
CA,06047,209,2007-07-10
CA,06047,209,2007-07-17
CA,06047,209,2007-07-24
CA,06047,209,2007-07-31
CA,06047,209,2007-08-07
CA,06047,209,2007-08-14
CA,06047,209,2007-08-21
CA,06047,209,2007-08-28
CA,06047,209,2007-09-04
CA,06047,209,2007-09-11
CA,06047,209,2007-09-18
CA,06047,209,2007-09-25
CA,06047,209,2007-10-02
CA,06047,209,2007-10-09
CA,06047,209,2007-10-16
CA,06047,209,2007-10-23
CA,06047,209,2007-10-30
CA,06047,209,2007-11-06
CA,06047,211,2007-11-13
CA,06047,211,2007-11-20
CA,06047,211,2007-11-27
CA,06047,211,2007-12-04
CA,06047,211,2007-12-11
CA,06047,211,2007-12-18
CA,06047,211,2007-12-25
CA,06047,211,2008-01-01
CA,06047,200,2008-01-08
CA,06047,200,2008-01-15
CA,06047,200,2008-01-22
CA,06047,100,2008-01-29
CA,06047,100,2008-02-05
CA,06047,100,2008-02-12
CA,06047,100,2008-02-19
CA,06047,0,2008-02-26
CA,06047,0,2008-03-04
CA,06047,0,2008-03-11
CA,06047,0,2008-03-18
CA,06047,0,2008-03-25
CA,06047,0,2008-04-01
CA,06047,30,2008-04-08
CA,06047,30,2008-04-15
CA,06047,30,2008-04-22
CA,06047,130,2008-04-29
CA,06047,143,2008-05-06
CA,06047,143,2008-05-13
CA,06047,143,2008-05-20
CA,06047,143,2008-05-27
CA,06047,200,2008-06-03
CA,06047,200,2008-06-10
CA,06047,200,2008-06-17
CA,06047,200,2008-06-24
CA,06047,200,2008-07-01
CA,06047,200,2008-07-08
CA,06047,200,2008-07-15
CA,06047,200,2008-07-22
CA,06047,300,2008-07-29
CA,06047,300,2008-08-05
CA,06047,300,2008-08-12
CA,06047,300,2008-08-19
CA,06047,300,2008-08-26
CA,06047,300,2008-09-02
CA,06047,300,2008-09-09
CA,06047,300,2008-09-16
CA,06047,300,2008-09-23
CA,06047,300,2008-09-30
CA,06047,300,2008-10-07
CA,06047,300,2008-10-14
CA,06047,300,2008-10-21
CA,06047,300,2008-10-28
CA,06047,300,2008-11-04
CA,06047,300,2008-11-11
CA,06047,300,2008-11-18
CA,06047,300,2008-11-25
CA,06047,300,2008-12-02
CA,06047,300,2008-12-09
CA,06047,300,2008-12-16
CA,06047,300,2008-12-23
CA,06047,300,2008-12-30
CA,06047,300,2009-01-06
CA,06047,300,2009-01-13
CA,06047,300,2009-01-20
CA,06047,300,2009-01-27
CA,06047,300,2009-02-03
CA,06047,300,2009-02-10
CA,06047,300,2009-02-17
CA,06047,300,2009-02-24
CA,06047,281,2009-03-03
CA,06047,300,2009-03-10
CA,06047,300,2009-03-17
CA,06047,300,2009-03-24
CA,06047,300,2009-03-31
